financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line,station_alloc_ridership,period_year,upgrade_year,train_upgrade_year,signalling_upgrade_year,post_upgrade,post_train_upgrade,post_signalling_upgrade
05_16/17,2016/2017,5.0,28.0,2016-08-20,Victoria,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.3153837905457911,583913.3604719646,11771118.120827286,2016.0,2016.0,2009.0,2016.0,1,1,1
06_16/17,2016/2017,6.0,28.0,2016-09-17,Bakerloo,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.3822707995145251,284811.45556550653,7997807.875471698,2016.0,,,,0,0,0
06_16/17,2016/2017,6.0,28.0,2016-09-17,Central,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.4761590771170018,1004228.9051490492,33718323.328301884,2016.0,,,,0,0,0
06_16/17,2016/2017,6.0,28.0,2016-09-17,Waterloo & City,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.233740502962674,27213.69567552648,7195784.39245283,2016.0,,,,0,0,0
06_16/17,2016/2017,6.0,28.0,2016-09-17,Circle & Hammersmith & City,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.5478999350005374,300542.2766826291,,2016.0,2023.0,2017.0,2023.0,0,0,0
06_16/17,2016/2017,6.0,28.0,2016-09-17,District,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.4620911938535478,761799.8263831972,42109879.46037736,2016.0,2023.0,2017.0,2023.0,0,0,0
06_16/17,2016/2017,6.0,28.0,2016-09-17,Jubilee,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.289854000781757,833005.4582673906,14710886.58490566,2016.0,2011.0,2011.0,2011.0,1,1,1
06_16/17,2016/2017,6.0,28.0,2016-09-17,Metropolitan,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.6756028549294671,606079.7088595418,26719964.064150944,2016.0,,2012.0,,0,1,0
06_16/17,2016/2017,6.0,28.0,2016-09-17,Northern,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.2623087020882513,1122528.372536954,33036981.249056604,2016.0,2014.0,2014.0,2014.0,1,1,1
06_16/17,2016/2017,6.0,28.0,2016-09-17,Piccadilly,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.4742964798574454,910366.2301385328,20302320.011320755,2016.0,,,,0,0,0
06_16/17,2016/2017,6.0,28.0,2016-09-17,Victoria,2199866.180000005,4.126131084905,6433713.582378572,0.9722753864192551,,0.3219075387997923,583137.6531202436,11503328.094339624,2016.0,2016.0,2009.0,2016.0,1,1,1
07_16/17,2016/2017,7.0,28.0,2016-10-15,Bakerloo,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.4342759089047391,287535.0987993028,8936821.755587807,2016.0,,,,0,0,0
07_16/17,2016/2017,7.0,28.0,2016-10-15,Central,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.5409369908997471,1013832.3154376596,37677154.81219158,2016.0,,,,0,0,0
07_16/17,2016/2017,7.0,28.0,2016-10-15,Waterloo & City,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.2655391662164066,27473.93941448027,8040633.572133526,2016.0,,,,0,0,0
07_16/17,2016/2017,7.0,28.0,2016-10-15,Circle & Hammersmith & City,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.6224376608503284,303416.3532773751,,2016.0,2023.0,2017.0,2023.0,0,0,0
07_16/17,2016/2017,7.0,28.0,2016-10-15,District,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.5249552763707772,769084.8948103643,47053954.37677794,2016.0,2023.0,2017.0,2023.0,0,0,0
