Station,year,annual_entry_exit
Kennington                         ,2013,4679885
Kensal Green                       ,2013,2562212
Kensington (Olympia)               ,2013,1876505
Kentish Town                       ,2013,6449580
Kenton                             ,2013,2017375
Kew Gardens                        ,2013,3522717
Kilburn                            ,2013,7790047
Kilburn Park                       ,2013,3480874
King's Cross St. Pancras           ,2013,84866823
Kingsbury                          ,2013,4117979
Knightsbridge                      ,2013,21469435
Ladbroke Grove                     ,2013,5665472
Lambeth North                      ,2013,3023974
Lancaster Gate                     ,2013,6794600
Latimer Road                       ,2013,2192582
Leicester Square                   ,2013,38596700
Leyton                             ,2013,13531459
Leytonstone                        ,2013,10379073
Liverpool Street                   ,2013,67893591
London Bridge                      ,2013,69884482
Loughton                           ,2013,3166344
Maida Vale                         ,2013,3347805
Manor House                        ,2013,9259062
Mansion House                      ,2013,5769586
Marble Arch                        ,2013,16361603
Marylebone                         ,2013,13398300
Mile End                           ,2013,14370438
Mill Hill East                     ,2013,1165330
Moor Park                          ,2013,824391
Moorgate                           ,2013,21381249
Morden                             ,2013,7696341
Mornington Crescent                ,2013,4651775
Neasden                            ,2013,3107451
Newbury Park                       ,2013,4395879
North Acton                        ,2013,5465012
North Ealing                       ,2013,860944
North Greenwich                    ,2013,22398063
North Harrow                       ,2013,1685908
North Wembley                      ,2013,1647314
Northfields                        ,2013,4102498
Northolt                           ,2013,4611479
Northwick Park                     ,2013,3946956
Northwood                          ,2013,2280491
Northwood Hills                    ,2013,1483623
Notting Hill Gate                  ,2013,17394388
Oakwood                            ,2013,2785115
Old Street                         ,2013,21855888
Osterley                           ,2013,2317893
Oval                               ,2013,5911952
Oxford Circus                      ,2013,85246928
Paddington                         ,2013,49710749
Park Royal                         ,2013,1643912
Parsons Green                      ,2013,6452463
Perivale                           ,2013,2243955
Piccadilly Circus                  ,2013,41703911
Pimlico                            ,2013,10212959
Pinner                             ,2013,2606534
Plaistow                           ,2013,6246718
Preston Road                       ,2013,3154183
Putney Bridge                      ,2013,5923504
Queen's Park                       ,2013,5578067
Queensbury                         ,2013,3853332
Queensway                          ,2013,8575808
Ravenscourt Park                   ,2013,2767420
