financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line
11_16/17,2016/2017,11.0,28.0,2017-02-04,Waterloo & City,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.3259585563451762,26524.43817077103
11_16/17,2016/2017,11.0,28.0,2017-02-04,Circle & Hammersmith & City,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.764063863860644,292930.26315202715
11_16/17,2016/2017,11.0,28.0,2017-02-04,District,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.6444008485443118,742505.2677272694
11_16/17,2016/2017,11.0,28.0,2017-02-04,Jubilee,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.404210611546355,811907.432094878
11_16/17,2016/2017,11.0,28.0,2017-02-04,Metropolitan,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.9421496422922271,590729.1665152649
11_16/17,2016/2017,11.0,28.0,2017-02-04,Northern,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.36579781751867385,1094097.4267992966
11_16/17,2016/2017,11.0,28.0,2017-02-04,Piccadilly,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.6614215075879255,887308.841547126
11_16/17,2016/2017,11.0,28.0,2017-02-04,Victoria,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.44891028852010767,568368.1779078024
12_16/17,2016/2017,12.0,28.0,2017-03-04,Bakerloo,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.46422281963277046,289879.28366074315
12_16/17,2016/2017,12.0,28.0,2017-03-04,Central,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.5782390641757439,1022097.7772049787
12_16/17,2016/2017,12.0,28.0,2017-03-04,Waterloo & City,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.2838502848910162,27697.92595778748
12_16/17,2016/2017,12.0,28.0,2017-03-04,Circle & Hammersmith & City,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.6653598784567816,305890.0131019891
12_16/17,2016/2017,12.0,28.0,2017-03-04,District,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.5611552784324461,775355.0064423195
12_16/17,2016/2017,12.0,28.0,2017-03-04,Jubilee,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.3519935127025933,847827.6446029469
12_16/17,2016/2017,12.0,28.0,2017-03-04,Metropolitan,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.8204400196552022,616864.0636194745
12_16/17,2016/2017,12.0,28.0,2017-03-04,Northern,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.3185429947886813,1142502.2208948007
12_16/17,2016/2017,12.0,28.0,2017-03-04,Piccadilly,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.5759771593879086,926564.9450002306
12_16/17,2016/2017,12.0,28.0,2017-03-04,Victoria,2233237.5899999975,5.0106997679173775,6548192.666040235,0.9662956557615376,,0.3909187557942336,593513.7855549639
13_16/17,2016/2017,13.0,27.0,2017-03-31,Bakerloo,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.40416047512707926,281290.1045261903
13_16/17,2016/2017,13.0,27.0,2017-03-31,Central,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.50342500418049,991812.822755746
13_16/17,2016/2017,13.0,27.0,2017-03-31,Waterloo & City,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.2471250036722915,26877.23106471798
13_16/17,2016/2017,13.0,27.0,2017-03-31,Circle & Hammersmith & City,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.5792739030371559,296826.43296330434
13_16/17,2016/2017,13.0,27.0,2017-03-31,District,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.4885515626541936,752381.0879231904
13_16/17,2016/2017,13.0,27.0,2017-03-31,Jubilee,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.3064516850939552,822706.3478246533
13_16/17,2016/2017,13.0,27.0,2017-03-31,Metropolitan,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.7142893759928152,598586.2623320367
13_16/17,2016/2017,13.0,27.0,2017-03-31,Northern,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.2773290813752749,1108649.6595355882
13_16/17,2016/2017,13.0,27.0,2017-03-31,Piccadilly,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.501455750462056,899110.64681134
13_16/17,2016/2017,13.0,27.0,2017-03-31,Victoria,2032259.4699999967,4.36240252153618,6354168.453250995,0.977178011529844,,0.3403406799408682,575927.857514227
01_17/18,2017/2018,1.0,29.0,2017-04-29,Bakerloo,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.3740176654191074,297623.0312706282
01_17/18,2017/2018,1.0,29.0,2017-04-29,Central,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.4658789178184425,1049401.788444923
01_17/18,2017/2018,1.0,29.0,2017-04-29,Waterloo & City,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.22869410204235469,28437.83998415651
01_17/18,2017/2018,1.0,29.0,2017-04-29,Circle & Hammersmith & City,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.5360709079334092,314061.4665012547
01_17/18,2017/2018,1.0,29.0,2017-04-29,District,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.45211475675181706,796067.6058462047
01_17/18,2017/2018,1.0,29.0,2017-04-29,Jubilee,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.28359612301661463,870476.2561683469
01_17/18,2017/2018,1.0,29.0,2017-04-29,Metropolitan,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.6610167527106707,633342.7838576128
01_17/18,2017/2018,1.0,29.0,2017-04-29,Northern,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.25664552065906904,1173022.680068754
01_17/18,2017/2018,1.0,29.0,2017-04-29,Piccadilly,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.46405653358318305,951316.9210215531
01_17/18,2017/2018,1.0,29.0,2017-04-29,Victoria,1972224.9199999995,4.037048912836823,6723119.106682545,0.976318841866318,,0.31495763290215495,609368.7335191101
02_17/18,2017/2018,2.0,28.0,2017-05-27,Bakerloo,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.37601526037841726,292183.8607825447
02_17/18,2017/2018,2.0,28.0,2017-05-27,Central,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.46836713552559284,1030223.5843473322
02_17/18,2017/2018,2.0,28.0,2017-05-27,Waterloo & City,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.22991553682392252,27918.127986982417
02_17/18,2017/2018,2.0,28.0,2017-05-27,Circle & Hammersmith & City,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.5389340147931359,308321.8775563233
02_17/18,2017/2018,2.0,28.0,2017-05-27,District,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.4545294613035526,781519.1772190505
02_17/18,2017/2018,2.0,28.0,2017-05-27,Jubilee,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.28511078459064215,854567.9820575872
02_17/18,2017/2018,2.0,28.0,2017-05-27,Metropolitan,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.6645471841723894,621768.2112713044
02_17/18,2017/2018,2.0,28.0,2017-05-27,Northern,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.2580162414720112,1151585.2586566957
02_17/18,2017/2018,2.0,28.0,2017-05-27,Piccadilly,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.46653501809883235,933931.2539932178
02_17/18,2017/2018,2.0,28.0,2017-05-27,Victoria,2309083.6700000037,4.058610430659073,6600251.629401571,0.9745558283888152,,0.31663979350057614,598232.295530532
03_17/18,2017/2018,3.0,28.0,2017-06-24,Bakerloo,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.43421787251838584,284279.0487535947
03_17/18,2017/2018,3.0,28.0,2017-06-24,Central,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.540864700386843,1002351.6691763651
03_17/18,2017/2018,3.0,28.0,2017-06-24,Waterloo & City,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.26550367971271976,27162.824277372292
03_17/18,2017/2018,3.0,28.0,2017-06-24,Circle & Hammersmith & City,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.6223544786340801,299980.46376307635
03_17/18,2017/2018,3.0,28.0,2017-06-24,District,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.5248851216451454,760375.7705422046
03_17/18,2017/2018,3.0,28.0,2017-06-24,Jubilee,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.3292424839151618,831448.295549126
03_17/18,2017/2018,3.0,28.0,2017-06-24,Metropolitan,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.7674110465862936,604946.7454226686
03_17/18,2017/2018,3.0,28.0,2017-06-24,Northern,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.29795403339326143,1120429.9957321435
